"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2003"	"2003"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	45	202740	22.2
	"Alabama"	"01"	"2003"	"2003"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	10	65214	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	129	630074	20.5
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	128	557530	23.0
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	109	632675	17.2
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	113	640077	17.7
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	75	481216	15.6
	"Alabama"	"01"	"2004"	"2004"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	59	321525	18.4
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	40	203466	19.7
	"Alabama"	"01"	"2005"	"2005"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	137	633896	21.6
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	150	557094	26.9
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	117	626095	18.7
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	123	650041	18.9
	"Alabama"	"01"	"2005"	"2005"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	77	499880	15.4
	"Alabama"	"01"	"2005"	"2005"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	49	326780	15.0
	"Alabama"	"01"	"2005"	"2005"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	39	204500	19.1
	"Alabama"	"01"	"2005"	"2005"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	15	67008	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	166	637537	26.0
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	156	559594	27.9
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	131	624429	21.0
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	120	661679	18.1
	"Alabama"	"01"	"2006"	"2006"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	74	519223	14.3
	"Alabama"	"01"	"2006"	"2006"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	61	333668	18.3
	"Alabama"	"01"	"2006"	"2006"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	35	206473	17.0
	"Alabama"	"01"	"2006"	"2006"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	14	68879	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	170	640424	26.5
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	161	559855	28.8
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	143	619015	23.1
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	122	669683	18.2
	"Alabama"	"01"	"2007"	"2007"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	100	536544	18.6
	"Alabama"	"01"	"2007"	"2007"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	41	340110	12.1
	"Alabama"	"01"	"2007"	"2007"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	33	207205	15.9
	"Alabama"	"01"	"2007"	"2007"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	13	70489	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	10	597194	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	157	644019	24.4
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	174	562331	30.9
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	137	610885	22.4
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	137	675962	20.3
	"Alabama"	"01"	"2008"	"2008"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	91	550412	16.5
	"Alabama"	"01"	"2008"	"2008"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	55	351572	15.6
	"Alabama"	"01"	"2008"	"2008"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	29	208716	13.9
	"Alabama"	"01"	"2008"	"2008"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	10	72161	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	132	645695	20.4
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	153	566800	27.0
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	141	603021	23.4
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	139	679496	20.5
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	120	566524	21.2
	"Alabama"	"01"	"2009"	"2009"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	64	361814	17.7
	"Alabama"	"01"	"2009"	"2009"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	46	208528	22.1
	"Alabama"	"01"	"2009"	"2009"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	16	73868	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	140	643763	21.7
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	156	568317	27.4
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	120	594657	20.2
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	139	679780	20.4
	"Alabama"	"01"	"2010"	"2010"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	100	581278	17.2
	"Alabama"	"01"	"2010"	"2010"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	56	367427	15.2
	"Alabama"	"01"	"2010"	"2010"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	36	210116	17.1
	"Alabama"	"01"	"2010"	"2010"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	13	75219	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	139	647088	21.5
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	160	573271	27.9
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	104	581837	17.9
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	127	670006	19.0
	"Alabama"	"01"	"2011"	"2011"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	110	602662	18.3
	"Alabama"	"01"	"2011"	"2011"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	64	376790	17.0
	"Alabama"	"01"	"2011"	"2011"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	47	213037	22.1
	"Alabama"	"01"	"2011"	"2011"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	12	77205	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	149	644376	23.1
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	143	577155	24.8
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	138	579217	23.8
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	143	657734	21.7
	"Alabama"	"01"	"2012"	"2012"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	105	607139	17.3
	"Alabama"	"01"	"2012"	"2012"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	76	398825	19.1
	"Alabama"	"01"	"2012"	"2012"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	47	214933	21.9
	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	11	79460	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	143	644586	22.2
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	174	581928	29.9
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	129	578473	22.3
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	143	647668	22.1
	"Alabama"	"01"	"2013"	"2013"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	108	614032	17.6
	"Alabama"	"01"	"2013"	"2013"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	68	414684	16.4
	"Alabama"	"01"	"2013"	"2013"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	52	218518	23.8
	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	18	81287	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	128	639955	20.0
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	155	588546	26.3
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	161	575838	28.0
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	132	638871	20.7
	"Alabama"	"01"	"2014"	"2014"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	102	620022	16.5
	"Alabama"	"01"	"2014"	"2014"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	68	430967	15.8
	"Alabama"	"01"	"2014"	"2014"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	36	222819	16.2
	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	13	82794	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	157	632147	24.8
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	199	596645	33.4
	"Alabama"	"01"	"2015"	"2015"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	161	571762	28.2
	"Alabama"	"01"	"2015"	"2015"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	148	630853	23.5
	"Alabama"	"01"	"2015"	"2015"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	126	627819	20.1
	"Alabama"	"01"	"2015"	"2015"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	74	445447	16.6
	"Alabama"	"01"	"2015"	"2015"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	45	226277	19.9
	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	22	84552	26.0
	"Alabama"	"01"	"2016"	"2016"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	209	622761	33.6
	"Alabama"	"01"	"2016"	"2016"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	210	603570	34.8
	"Alabama"	"01"	"2016"	"2016"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	173	565061	30.6
	"Alabama"	"01"	"2016"	"2016"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	147	624835	23.5
	"Alabama"	"01"	"2016"	"2016"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	123	634292	19.4
	"Alabama"	"01"	"2016"	"2016"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	91	459496	19.8
	"Alabama"	"01"	"2016"	"2016"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	54	230843	23.4
	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	18	85834	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	26	84819	30.7
	"Alaska"	"02"	"1999"	"1999"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	18	85879	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	16	112938	Unreliable
	"Alaska"	"02"	"2000"	"2000"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	39	85354	45.7
	"Alaska"	"02"	"2000"	"2000"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	22	85068	25.9
	"Alaska"	"02"	"2000"	"2000"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	28	109972	25.5
	"Alaska"	"02"	"2000"	"2000"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	14	92568	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	18	89629	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	19	82455	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	21	106892	19.6
	"Alaska"	"02"	"2001"	"2001"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	16	97307	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	34	93038	36.5
	"Alaska"	"02"	"2002"	"2002"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	19	81709	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	24	103624	23.2
	"Alaska"	"02"	"2002"	"2002"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	25	99993	25.0
	"Alaska"	"02"	"2002"	"2002"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	11	51170	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	33	95476	34.6
	"Alaska"	"02"	"2003"	"2003"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	24	81254	29.5
	"Alaska"	"02"	"2003"	"2003"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	16	100279	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	14	102754	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Firearm"	"GRINJ-006"	12	54950	Unreliable
