state,year,type_variable,Statistics
HI,1979,Unemployment Rate,6.083
IA,1979,Unemployment Rate,4.217
ID,1979,Unemployment Rate,5.808
IL,1979,Unemployment Rate,5.542
IN,1979,Unemployment Rate,6.483
KS,1979,Unemployment Rate,3.233
KY,1979,Unemployment Rate,5.542
LA,1979,Unemployment Rate,6.6
MA,1979,Unemployment Rate,5.492
MD,1979,Unemployment Rate,5.775
ME,1979,Unemployment Rate,6.792
MI,1979,Unemployment Rate,7.808
MN,1979,Unemployment Rate,4.242
MO,1979,Unemployment Rate,4.842
MS,1979,Unemployment Rate,5.767
MT,1979,Unemployment Rate,5.175
NC,1979,Unemployment Rate,4.767
ND,1979,Unemployment Rate,4.017
NE,1979,Unemployment Rate,3.05
NH,1979,Unemployment Rate,3.2
NJ,1979,Unemployment Rate,6.925
NM,1979,Unemployment Rate,6.375
NV,1979,Unemployment Rate,4.942
NY,1979,Unemployment Rate,7.175
OH,1979,Unemployment Rate,5.833
OK,1979,Unemployment Rate,3.367
OR,1979,Unemployment Rate,6.683
PA,1979,Unemployment Rate,6.867
RI,1979,Unemployment Rate,6.392
SC,1979,Unemployment Rate,5.017
SD,1979,Unemployment Rate,3.35
TN,1979,Unemployment Rate,5.858
TX,1979,Unemployment Rate,4.358
UT,1979,Unemployment Rate,4.333
VA,1979,Unemployment Rate,4.725
VT,1979,Unemployment Rate,5.142
WA,1979,Unemployment Rate,6.675
WI,1979,Unemployment Rate,4.592
WV,1979,Unemployment Rate,6.917
WY,1979,Unemployment Rate,2.758
AK,1980,Unemployment Rate,9.65
AL,1980,Unemployment Rate,8.883
AR,1980,Unemployment Rate,7.558
AZ,1980,Unemployment Rate,6.65
CA,1980,Unemployment Rate,6.85
CO,1980,Unemployment Rate,5.808
CT,1980,Unemployment Rate,5.808
DC,1980,Unemployment Rate,7.367
DE,1980,Unemployment Rate,7.608
DS,1980,Unemployment Rate,8.082
FL,1980,Unemployment Rate,6.092
GA,1980,Unemployment Rate,6.35
HI,1980,Unemployment Rate,5.058
IA,1980,Unemployment Rate,6.042
ID,1980,Unemployment Rate,7.525
IL,1980,Unemployment Rate,8.167
IN,1980,Unemployment Rate,9.675
KS,1980,Unemployment Rate,4.433
KY,1980,Unemployment Rate,7.942
LA,1980,Unemployment Rate,6.85
MA,1980,Unemployment Rate,5.65
MD,1980,Unemployment Rate,6.575
ME,1980,Unemployment Rate,7.625
MI,1980,Unemployment Rate,12.35
MN,1980,Unemployment Rate,5.775
MO,1980,Unemployment Rate,7.225
MS,1980,Unemployment Rate,7.425
MT,1980,Unemployment Rate,6.117
NC,1980,Unemployment Rate,6.417
ND,1980,Unemployment Rate,4.942
NE,1980,Unemployment Rate,3.933
NH,1980,Unemployment Rate,4.55
NJ,1980,Unemployment Rate,7.217
NM,1980,Unemployment Rate,7.575
NV,1980,Unemployment Rate,6.183
NY,1980,Unemployment Rate,7.483
OH,1980,Unemployment Rate,8.4
OK,1980,Unemployment Rate,4.4
OR,1980,Unemployment Rate,8.483
PA,1980,Unemployment Rate,8.042
RI,1980,Unemployment Rate,7.217
SC,1980,Unemployment Rate,6.767
SD,1980,Unemployment Rate,4.792
TN,1980,Unemployment Rate,7.458
TX,1980,Unemployment Rate,5.142
UT,1980,Unemployment Rate,6.2
VA,1980,Unemployment Rate,5.175
VT,1980,Unemployment Rate,6.183
WA,1980,Unemployment Rate,8.067
WI,1980,Unemployment Rate,7.233
WV,1980,Unemployment Rate,9.467
WY,1980,Unemployment Rate,3.867
AK,1981,Unemployment Rate,9.383
AL,1981,Unemployment Rate,10.533
AR,1981,Unemployment Rate,8.758
AZ,1981,Unemployment Rate,6.225
CA,1981,Unemployment Rate,7.383
CO,1981,Unemployment Rate,5.733
CT,1981,Unemployment Rate,6.167
DC,1981,Unemployment Rate,8.942
DE,1981,Unemployment Rate,7.85
DS,1981,Unemployment Rate,8.685
FL,1981,Unemployment Rate,6.65
GA,1981,Unemployment Rate,6.367
HI,1981,Unemployment Rate,5.425
IA,1981,Unemployment Rate,6.575
ID,1981,Unemployment Rate,7.775
IL,1981,Unemployment Rate,8.533
IN,1981,Unemployment Rate,9.867
KS,1981,Unemployment Rate,4.308
KY,1981,Unemployment Rate,8.592
LA,1981,Unemployment Rate,8.383
MA,1981,Unemployment Rate,6.467
MD,1981,Unemployment Rate,7.258
ME,1981,Unemployment Rate,7.35
MI,1981,Unemployment Rate,12.392
MN,1981,Unemployment Rate,5.767
MO,1981,Unemployment Rate,7.642
MS,1981,Unemployment Rate,8.533
MT,1981,Unemployment Rate,6.833
NC,1981,Unemployment Rate,6.475
ND,1981,Unemployment Rate,4.825
NE,1981,Unemployment Rate,4.258
NH,1981,Unemployment Rate,5.167
NJ,1981,Unemployment Rate,7.467
NM,1981,Unemployment Rate,7.3
NV,1981,Unemployment Rate,7.175
NY,1981,Unemployment Rate,7.583
OH,1981,Unemployment Rate,9.408
OK,1981,Unemployment Rate,3.633
OR,1981,Unemployment Rate,9.758
PA,1981,Unemployment Rate,8.383
RI,1981,Unemployment Rate,7.775
SC,1981,Unemployment Rate,8.092
SD,1981,Unemployment Rate,4.95
TN,1981,Unemployment Rate,8.933
TX,1981,Unemployment Rate,5.3
UT,1981,Unemployment Rate,6.567
VA,1981,Unemployment Rate,5.983
VT,1981,Unemployment Rate,5.833
WA,1981,Unemployment Rate,9.558
WI,1981,Unemployment Rate,8.008
WV,1981,Unemployment Rate,10.567
WY,1981,Unemployment Rate,4.075
AK,1982,Unemployment Rate,9.958
AL,1982,Unemployment Rate,14.083
AR,1982,Unemployment Rate,9.9
AZ,1982,Unemployment Rate,10.092
CA,1982,Unemployment Rate,9.958
CO,1982,Unemployment Rate,7.333
CT,1982,Unemployment Rate,6.867
DC,1982,Unemployment Rate,10.442
DE,1982,Unemployment Rate,8.367
DS,1982,Unemployment Rate,10.994
FL,1982,Unemployment Rate,8.442
GA,1982,Unemployment Rate,7.767
HI,1982,Unemployment Rate,6.317
IA,1982,Unemployment Rate,8.508
ID,1982,Unemployment Rate,9.908
IL,1982,Unemployment Rate,11.358
IN,1982,Unemployment Rate,11.967
KS,1982,Unemployment Rate,6.267
KY,1982,Unemployment Rate,10.817
LA,1982,Unemployment Rate,10.275
MA,1982,Unemployment Rate,7.708
MD,1982,Unemployment Rate,8.283
ME,1982,Unemployment Rate,8.375
MI,1982,Unemployment Rate,15.333
MN,1982,Unemployment Rate,7.917
MO,1982,Unemployment Rate,9.217
MS,1982,Unemployment Rate,11.058
MT,1982,Unemployment Rate,8.517
NC,1982,Unemployment Rate,9.208
ND,1982,Unemployment Rate,5.558
NE,1982,Unemployment Rate,5.667
NH,1982,Unemployment Rate,6.775
NJ,1982,Unemployment Rate,8.708
NM,1982,Unemployment Rate,9.242
NV,1982,Unemployment Rate,9.883
NY,1982,Unemployment Rate,8.458
OH,1982,Unemployment Rate,12.692
OK,1982,Unemployment Rate,6.008
OR,1982,Unemployment Rate,11.558
PA,1982,Unemployment Rate,11.142
RI,1982,Unemployment Rate,9.7
SC,1982,Unemployment Rate,11.117
SD,1982,Unemployment Rate,5.475
TN,1982,Unemployment Rate,11.717
TX,1982,Unemployment Rate,6.9
UT,1982,Unemployment Rate,8.192
VA,1982,Unemployment Rate,7.45
VT,1982,Unemployment Rate,6.983
WA,1982,Unemployment Rate,11.933
WI,1982,Unemployment Rate,10.542
WV,1982,Unemployment Rate,13.983
WY,1982,Unemployment Rate,6.233
AK,1983,Unemployment Rate,9.933
AL,1983,Unemployment Rate,13.833
AR,1983,Unemployment Rate,9.825
AZ,1983,Unemployment Rate,8.825
CA,1983,Unemployment Rate,9.808
CO,1983,Unemployment Rate,7.108
CT,1983,Unemployment Rate,6.008
DC,1983,Unemployment Rate,11.217
DE,1983,Unemployment Rate,7.742
DS,1983,Unemployment Rate,11.216
FL,1983,Unemployment Rate,8.517
GA,1983,Unemployment Rate,7.75
HI,1983,Unemployment Rate,6.167
IA,1983,Unemployment Rate,8.125
ID,1983,Unemployment Rate,8.942
IL,1983,Unemployment Rate,11.817
IN,1983,Unemployment Rate,11.2
KS,1983,Unemployment Rate,5.858
KY,1983,Unemployment Rate,11.417
LA,1983,Unemployment Rate,11.517
MA,1983,Unemployment Rate,6.767
MD,1983,Unemployment Rate,6.992
ME,1983,Unemployment Rate,8.283
MI,1983,Unemployment Rate,14.4
MN,1983,Unemployment Rate,8.008
MO,1983,Unemployment Rate,9.892
MS,1983,Unemployment Rate,12.042
MT,1983,Unemployment Rate,8.617
NC,1983,Unemployment Rate,8.958
ND,1983,Unemployment Rate,5.65
NE,1983,Unemployment Rate,5.55
NH,1983,Unemployment Rate,5.5
NJ,1983,Unemployment Rate,8.033
NM,1983,Unemployment Rate,9.65
NV,1983,Unemployment Rate,9.567
NY,1983,Unemployment Rate,8.683
OH,1983,Unemployment Rate,12.375
OK,1983,Unemployment Rate,8.367
OR,1983,Unemployment Rate,10.792
PA,1983,Unemployment Rate,11.517
RI,1983,Unemployment Rate,8.317
SC,1983,Unemployment Rate,9.85
SD,1983,Unemployment Rate,5.2
TN,1983,Unemployment Rate,11.55
TX,1983,Unemployment Rate,7.925
UT,1983,Unemployment Rate,8.725
VA,1983,Unemployment Rate,6.467
VT,1983,Unemployment Rate,6.433
WA,1983,Unemployment Rate,11.125
WI,1983,Unemployment Rate,10.217
WV,1983,Unemployment Rate,17.792
WY,1983,Unemployment Rate,8.125
AK,1984,Unemployment Rate,9.85
AL,1984,Unemployment Rate,11
AR,1984,Unemployment Rate,8.733
AZ,1984,Unemployment Rate,5.175
CA,1984,Unemployment Rate,7.758
CO,1984,Unemployment Rate,5.442
CT,1984,Unemployment Rate,4.667
DC,1984,Unemployment Rate,9.175
DE,1984,Unemployment Rate,6.308
DS,1984,Unemployment Rate,8.782
FL,1984,Unemployment Rate,6.383
GA,1984,Unemployment Rate,6.117
HI,1984,Unemployment Rate,5.675
IA,1984,Unemployment Rate,6.983
ID,1984,Unemployment Rate,7.325
IL,1984,Unemployment Rate,9.033
IN,1984,Unemployment Rate,8.542
KS,1984,Unemployment Rate,4.925
KY,1984,Unemployment Rate,9.292
LA,1984,Unemployment Rate,10.067
MA,1984,Unemployment Rate,4.775
MD,1984,Unemployment Rate,5.358
ME,1984,Unemployment Rate,6.233
MI,1984,Unemployment Rate,11.2
MN,1984,Unemployment Rate,6.283
MO,1984,Unemployment Rate,7.167
MS,1984,Unemployment Rate,10.533
MT,1984,Unemployment Rate,7.608
NC,1984,Unemployment Rate,6.75
ND,1984,Unemployment Rate,5.283
NE,1984,Unemployment Rate,4.508
NH,1984,Unemployment Rate,4.3
NJ,1984,Unemployment Rate,6.167
NM,1984,Unemployment Rate,7.825
NV,1984,Unemployment Rate,7.883
NY,1984,Unemployment Rate,7.175
OH,1984,Unemployment Rate,9.467
OK,1984,Unemployment Rate,7.092
OR,1984,Unemployment Rate,9.417
PA,1984,Unemployment Rate,9.083
RI,1984,Unemployment Rate,5.508
SC,1984,Unemployment Rate,6.917
SD,1984,Unemployment Rate,4.392
TN,1984,Unemployment Rate,8.567
TX,1984,Unemployment Rate,6.117
UT,1984,Unemployment Rate,6.475
VA,1984,Unemployment Rate,5.083
VT,1984,Unemployment Rate,5.067
WA,1984,Unemployment Rate,9.283
WI,1984,Unemployment Rate,7.4
WV,1984,Unemployment Rate,14.758
WY,1984,Unemployment Rate,6.233
AK,1985,Unemployment Rate,9.692
AL,1985,Unemployment Rate,9.142
AR,1985,Unemployment Rate,8.683
AZ,1985,Unemployment Rate,6.333
CA,1985,Unemployment Rate,7.175
CO,1985,Unemployment Rate,6.075
CT,1985,Unemployment Rate,4.717
DC,1985,Unemployment Rate,8.133
DE,1985,Unemployment Rate,5.142
DS,1985,Unemployment Rate,8.44
FL,1985,Unemployment Rate,5.975
GA,1985,Unemployment Rate,6.408
HI,1985,Unemployment Rate,5.392
IA,1985,Unemployment Rate,7.45
ID,1985,Unemployment Rate,7.867
IL,1985,Unemployment Rate,9.05
IN,1985,Unemployment Rate,7.8
KS,1985,Unemployment Rate,5.075
KY,1985,Unemployment Rate,9.2
LA,1985,Unemployment Rate,11.55
MA,1985,Unemployment Rate,3.967
MD,1985,Unemployment Rate,4.6
ME,1985,Unemployment Rate,5.475
MI,1985,Unemployment Rate,9.95
MN,1985,Unemployment Rate,5.992
MO,1985,Unemployment Rate,6.525
MS,1985,Unemployment Rate,10.358
MT,1985,Unemployment Rate,7.642
NC,1985,Unemployment Rate,5.558
ND,1985,Unemployment Rate,5.675
NE,1985,Unemployment Rate,5.158
NH,1985,Unemployment Rate,3.733
NJ,1985,Unemployment Rate,5.6
NM,1985,Unemployment Rate,8.333
NV,1985,Unemployment Rate,7.7
NY,1985,Unemployment Rate,6.608
OH,1985,Unemployment Rate,8.883
OK,1985,Unemployment Rate,7.175
OR,1985,Unemployment Rate,8.858
PA,1985,Unemployment Rate,8.008
RI,1985,Unemployment Rate,4.633
SC,1985,Unemployment Rate,6.925
SD,1985,Unemployment Rate,4.825
TN,1985,Unemployment Rate,7.933
TX,1985,Unemployment Rate,7.042
UT,1985,Unemployment Rate,6.025
VA,1985,Unemployment Rate,5.483
VT,1985,Unemployment Rate,4.783
WA,1985,Unemployment Rate,8.35
WI,1985,Unemployment Rate,7.167
WV,1985,Unemployment Rate,13.15
WY,1985,Unemployment Rate,6.883
AK,1986,Unemployment Rate,10.933
AL,1986,Unemployment Rate,9.708
AR,1986,Unemployment Rate,8.558
AZ,1986,Unemployment Rate,6.925
CA,1986,Unemployment Rate,6.75
CO,1986,Unemployment Rate,7.508
CT,1986,Unemployment Rate,3.842
DC,1986,Unemployment Rate,7.533
DE,1986,Unemployment Rate,4.333
DS,1986,Unemployment Rate,8.044
FL,1986,Unemployment Rate,5.8
GA,1986,Unemployment Rate,5.975
HI,1986,Unemployment Rate,4.775
IA,1986,Unemployment Rate,6.75
ID,1986,Unemployment Rate,8.433
IL,1986,Unemployment Rate,8.292
IN,1986,Unemployment Rate,6.875
KS,1986,Unemployment Rate,5.35
KY,1986,Unemployment Rate,9.383
LA,1986,Unemployment Rate,12.733
MA,1986,Unemployment Rate,3.908
MD,1986,Unemployment Rate,4.55
ME,1986,Unemployment Rate,5.275
MI,1986,Unemployment Rate,8.825
MN,1986,Unemployment Rate,5.533
MO,1986,Unemployment Rate,6.258
MS,1986,Unemployment Rate,11.408
MT,1986,Unemployment Rate,7.925
NC,1986,Unemployment Rate,5.283
ND,1986,Unemployment Rate,5.842
NE,1986,Unemployment Rate,5.008
NH,1986,Unemployment Rate,2.758
NJ,1986,Unemployment Rate,5.017
NM,1986,Unemployment Rate,9.308
NV,1986,Unemployment Rate,6.208
NY,1986,Unemployment Rate,6.225
OH,1986,Unemployment Rate,8.308
OK,1986,Unemployment Rate,8.242
OR,1986,Unemployment Rate,8.042
PA,1986,Unemployment Rate,6.892
RI,1986,Unemployment Rate,4.067
SC,1986,Unemployment Rate,6.442
SD,1986,Unemployment Rate,4.583
TN,1986,Unemployment Rate,7.892
TX,1986,Unemployment Rate,8.758
UT,1986,Unemployment Rate,6.108
VA,1986,Unemployment Rate,5.042
VT,1986,Unemployment Rate,4.267
WA,1986,Unemployment Rate,8.125
WI,1986,Unemployment Rate,6.967
WV,1986,Unemployment Rate,11.808
WY,1986,Unemployment Rate,8.883
AK,1987,Unemployment Rate,10.267
AL,1987,Unemployment Rate,8.058
AR,1987,Unemployment Rate,8.108
AZ,1987,Unemployment Rate,6.45
CA,1987,Unemployment Rate,5.808
CO,1987,Unemployment Rate,7.533
CT,1987,Unemployment Rate,3.35
DC,1987,Unemployment Rate,6.342
DE,1987,Unemployment Rate,3.1
DS,1987,Unemployment Rate,7.271
FL,1987,Unemployment Rate,5.308
GA,1987,Unemployment Rate,5.675
HI,1987,Unemployment Rate,3.817
IA,1987,Unemployment Rate,5.483
ID,1987,Unemployment Rate,7.608
IL,1987,Unemployment Rate,7.433
IN,1987,Unemployment Rate,6.225
KS,1987,Unemployment Rate,4.825
KY,1987,Unemployment Rate,8.467
LA,1987,Unemployment Rate,12.117
MA,1987,Unemployment Rate,3.242
MD,1987,Unemployment Rate,4.367
ME,1987,Unemployment Rate,4.375
MI,1987,Unemployment Rate,8.308
MN,1987,Unemployment Rate,5.092
MO,1987,Unemployment Rate,6.225
MS,1987,Unemployment Rate,9.967
MT,1987,Unemployment Rate,7.45
NC,1987,Unemployment Rate,4.542
ND,1987,Unemployment Rate,4.992
NE,1987,Unemployment Rate,4.408
NH,1987,Unemployment Rate,2.325
NJ,1987,Unemployment Rate,4.108
NM,1987,Unemployment Rate,8.708
NV,1987,Unemployment Rate,6.058
NY,1987,Unemployment Rate,4.875
OH,1987,Unemployment Rate,7.117
OK,1987,Unemployment Rate,7.267
OR,1987,Unemployment Rate,6.242
PA,1987,Unemployment Rate,5.667
RI,1987,Unemployment Rate,3.633
SC,1987,Unemployment Rate,5.517
SD,1987,Unemployment Rate,4.208
TN,1987,Unemployment Rate,6.608
TX,1987,Unemployment Rate,8.425
UT,1987,Unemployment Rate,6.225
VA,1987,Unemployment Rate,4.283
VT,1987,Unemployment Rate,3.567
WA,1987,Unemployment Rate,7.333
WI,1987,Unemployment Rate,5.883
WV,1987,Unemployment Rate,10.817
WY,1987,Unemployment Rate,8.008
AK,1988,Unemployment Rate,8.783
AL,1988,Unemployment Rate,7.192
AR,1988,Unemployment Rate,7.6
AZ,1988,Unemployment Rate,6.367
CA,1988,Unemployment Rate,5.292
CO,1988,Unemployment Rate,6.5
CT,1988,Unemployment Rate,2.967
DC,1988,Unemployment Rate,5.033
DE,1988,Unemployment Rate,3.133
DS,1988,Unemployment Rate,6.485
FL,1988,Unemployment Rate,5.125
GA,1988,Unemployment Rate,5.7
HI,1988,Unemployment Rate,3.175
IA,1988,Unemployment Rate,4.5
ID,1988,Unemployment Rate,6.042
IL,1988,Unemployment Rate,6.658
IN,1988,Unemployment Rate,5.233
KS,1988,Unemployment Rate,4.525
KY,1988,Unemployment Rate,7.6
LA,1988,Unemployment Rate,10.85
MA,1988,Unemployment Rate,3.258
MD,1988,Unemployment Rate,4.242
ME,1988,Unemployment Rate,3.642
MI,1988,Unemployment Rate,7.483
MN,1988,Unemployment Rate,4.283
MO,1988,Unemployment Rate,5.725
MS,1988,Unemployment Rate,8.417
MT,1988,Unemployment Rate,6.658
NC,1988,Unemployment Rate,3.65
ND,1988,Unemployment Rate,4.683
NE,1988,Unemployment Rate,3.567
NH,1988,Unemployment Rate,2.425
NJ,1988,Unemployment Rate,3.808
NM,1988,Unemployment Rate,7.483
NV,1988,Unemployment Rate,5.233
NY,1988,Unemployment Rate,4.283
OH,1988,Unemployment Rate,6.008
OK,1988,Unemployment Rate,6.408
OR,1988,Unemployment Rate,5.775
PA,1988,Unemployment Rate,5.05
RI,1988,Unemployment Rate,3.108
SC,1988,Unemployment Rate,4.675
SD,1988,Unemployment Rate,4.067
TN,1988,Unemployment Rate,5.817
TX,1988,Unemployment Rate,7.342
UT,1988,Unemployment Rate,4.958
VA,1988,Unemployment Rate,3.942
VT,1988,Unemployment Rate,2.992
WA,1988,Unemployment Rate,6.317
WI,1988,Unemployment Rate,4.408
WV,1988,Unemployment Rate,9.833
WY,1988,Unemployment Rate,6.433
AK,1989,Unemployment Rate,7.008
AL,1989,Unemployment Rate,7.042
AR,1989,Unemployment Rate,6.975
AZ,1989,Unemployment Rate,5.358
CA,1989,Unemployment Rate,5.125
CO,1989,Unemployment Rate,5.633
CT,1989,Unemployment Rate,3.75
DC,1989,Unemployment Rate,4.908
DE,1989,Unemployment Rate,3.492
DS,1989,Unemployment Rate,5.878
FL,1989,Unemployment Rate,5.567
GA,1989,Unemployment Rate,5.5
HI,1989,Unemployment Rate,2.533
IA,1989,Unemployment Rate,4.192
ID,1989,Unemployment Rate,5.283
IL,1989,Unemployment Rate,6.017
IN,1989,Unemployment Rate,4.842
KS,1989,Unemployment Rate,4.175
KY,1989,Unemployment Rate,6.358
LA,1989,Unemployment Rate,7.942
MA,1989,Unemployment Rate,4.142
MD,1989,Unemployment Rate,3.817
ME,1989,Unemployment Rate,4.05
MI,1989,Unemployment Rate,7.175
MN,1989,Unemployment Rate,4.342
MO,1989,Unemployment Rate,5.542
MS,1989,Unemployment Rate,7.85
MT,1989,Unemployment Rate,5.783
NC,1989,Unemployment Rate,3.542
ND,1989,Unemployment Rate,4.292
NE,1989,Unemployment Rate,2.917
NH,1989,Unemployment Rate,3.458
NJ,1989,Unemployment Rate,4.083
NM,1989,Unemployment Rate,6.708
NV,1989,Unemployment Rate,4.725
NY,1989,Unemployment Rate,4.975
OH,1989,Unemployment Rate,5.558
OK,1989,Unemployment Rate,5.667
OR,1989,Unemployment Rate,5.417
PA,1989,Unemployment Rate,4.692
RI,1989,Unemployment Rate,4.117
SC,1989,Unemployment Rate,4.6
SD,1989,Unemployment Rate,4.008
TN,1989,Unemployment Rate,5.075
TX,1989,Unemployment Rate,6.658
UT,1989,Unemployment Rate,4.533
VA,1989,Unemployment Rate,3.892
VT,1989,Unemployment Rate,3.575
WA,1989,Unemployment Rate,5.867
WI,1989,Unemployment Rate,4.333
WV,1989,Unemployment Rate,8.617
WY,1989,Unemployment Rate,6.117
AK,1990,Unemployment Rate,7.233
AL,1990,Unemployment Rate,6.792
AR,1990,Unemployment Rate,6.908
AZ,1990,Unemployment Rate,5.258
CA,1990,Unemployment Rate,5.783
